Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-02-10 15:00:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 15:15:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 15:30:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 15:45:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 16:00:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 16:15:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 16:30:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 16:45:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 17:00:00,a423-b509,15,1,1,-50.8,-50.2
2015-02-10 17:15:00,a423-b509,15,1,1,-50.8,-50.2
