Time,RainAmout[mm/h]
2015-01-15 05:20:00,0.0
2015-01-15 05:30:00,0.0
2015-01-15 05:40:00,0.0
2015-01-15 05:50:00,0.0
2015-01-15 06:00:00,0.0
2015-01-15 06:10:00,0.0
2015-01-15 06:20:00,0.0
2015-01-15 06:30:00,0.0
2015-01-15 06:40:00,0.0
2015-01-15 06:50:00,0.0
2015-01-15 07:00:00,0.0
2015-01-15 07:10:00,0.0
2015-01-15 07:20:00,0.0
2015-01-15 07:30:00,0.0
2015-01-15 07:40:00,0.0
2015-01-15 07:50:00,0.0
2015-01-15 08:00:00,0.0
2015-01-15 08:10:00,0.0
2015-01-15 08:20:00,0.0
2015-01-15 08:30:00,0.0
2015-01-15 08:40:00,0.0
2015-01-15 08:50:00,0.0
2015-01-15 09:00:00,0.0
2015-01-15 09:10:00,0.0
2015-01-15 09:20:00,0.0
2015-01-15 09:30:00,0.0
2015-01-15 09:40:00,0.0
2015-01-15 09:50:00,0.0
2015-01-15 10:00:00,0.0
2015-01-15 10:10:00,0.0
2015-01-15 10:20:00,0.0
2015-01-15 10:30:00,0.0
2015-01-15 10:40:00,0.0
2015-01-15 10:50:00,0.0
2015-01-15 11:00:00,0.0
2015-01-15 11:10:00,0.0
2015-01-15 11:20:00,0.0
2015-01-15 11:30:00,0.0
2015-01-15 11:40:00,0.0
2015-01-15 11:50:00,0.0
2015-01-15 12:00:00,0.0
2015-01-15 12:10:00,0.0
2015-01-15 12:20:00,0.0
2015-01-15 12:30:00,0.0
2015-01-15 12:40:00,0.0
2015-01-15 12:50:00,0.0
2015-01-15 13:00:00,0.0
2015-01-15 13:10:00,0.0
2015-01-15 13:20:00,0.0
2015-01-15 13:30:00,0.0
2015-01-15 13:40:00,0.0
2015-01-15 13:50:00,0.0
2015-01-15 14:00:00,0.0
2015-01-15 14:10:00,0.0
2015-01-15 14:20:00,0.0
2015-01-15 14:30:00,0.0
2015-01-15 14:40:00,0.0
2015-01-15 14:50:00,0.0
2015-01-15 15:00:00,0.0
2015-01-15 15:10:00,0.0
2015-01-15 15:20:00,0.0
2015-01-15 15:30:00,0.0
2015-01-15 15:40:00,0.0
2015-01-15 15:50:00,0.0
