Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5,4.8,-48,-56
09-06-2011 08:30,5,4.8,-47,-51
09-06-2011 08:45,5,4.8,-48,-65
09-06-2011 09:00,5,4.8,-47,-61
09-06-2011 09:15,5,4.8,-45,-53
09-06-2011 09:30,5,4.8,-48,-60
09-06-2011 09:45,5,4.8,-46,-62
09-06-2011 10:00,5,4.8,-48,-50
09-06-2011 10:15,5,4.8,-48,-50
09-06-2011 10:30,5,4.8,-48,-50
09-06-2011 10:45,5,4.8,-47,-60
09-06-2011 11:00,5,4.8,-47,-59
09-06-2011 11:15,5,4.8,-48,-50
09-06-2011 11:30,5,4.8,-48,-55
09-06-2011 11:45,5,4.8,-48,-65
09-06-2011 12:00,5,4.8,-48,-65
09-06-2011 12:15,5,4.8,-48,-63
09-06-2011 12:30,5,4.8,-47,-67
09-06-2011 13:00,5,4.8,-47,-58
09-06-2011 13:15,5,4.8,-47,-58
09-06-2011 13:30,5,4.8,-48,-61
09-06-2011 13:45,5,4.8,-47,-50
09-06-2011 14:00,5,4.8,-48,-60
09-06-2011 14:15,5,4.8,-47,-51
09-06-2011 14:30,5,4.8,-47,-63
09-06-2011 14:45,5,4.8,-47,-66
09-06-2011 15:00,5,4.8,-47,-67
09-06-2011 15:15,5,4.8,-48,-57
09-06-2011 15:30,5,4.8,-47,-52
09-06-2011 15:45,5,4.8,-47,-57
09-06-2011 16:00,5,4.8,-47,-59
09-06-2011 16:15,5,4.8,-47,-56
09-06-2011 16:30,5,4.8,-47,-54
09-06-2011 16:45,5,4.8,-48,-52
09-06-2011 17:00,5,4.8,-48,-63
09-06-2011 17:15,5,4.8,-47,-58
09-06-2011 17:30,5,4.8,-48,-51
09-06-2011 17:45,5,4.8,-48,-60
09-06-2011 18:00,5,4.8,-48,-50
09-06-2011 18:15,5,4.8,-48,-58
09-06-2011 18:30,5,4.8,-47,-50
09-06-2011 18:45,5,4.8,-47,-51
09-06-2011 19:00,5,4.8,-47,-50
09-06-2011 19:15,5,4.8,-47,-49
09-06-2011 19:30,5,4.8,-47,-49
09-06-2011 19:45,5,4.8,-48,-49
09-06-2011 20:00,5,4.8,-48,-49
09-06-2011 20:15,5,4.8,-48,-49
09-06-2011 20:30,5,4.8,-48,-49
09-06-2011 20:45,5,4.8,-48,-49
09-06-2011 21:00,5,4.8,-49,-49
09-06-2011 21:15,5,4.8,-49,-49
09-06-2011 21:30,5,4.8,-49,-49
09-06-2011 21:45,5,4.8,-49,-49
09-06-2011 22:00,5,4.8,-49,-49
09-06-2011 22:15,5,4.8,-49,-49
09-06-2011 22:30,5,4.8,-49,-49
09-06-2011 22:45,5,4.8,-49,-49
09-06-2011 23:00,5,4.8,-49,-49
09-06-2011 23:15,5,4.8,-49,-49
09-06-2011 23:30,5,4.8,-49,-49
09-06-2011 23:45,5,4.8,-49,-49
10-06-2011 00:00,5,4.8,-49,-49
10-06-2011 00:15,5,4.8,-49,-49
10-06-2011 00:30,5,4.8,-49,-49
10-06-2011 00:45,5,4.8,-49,-49
10-06-2011 01:00,5,4.8,-49,-49
10-06-2011 01:15,5,4.8,-49,-49
10-06-2011 01:30,5,4.8,-49,-49
10-06-2011 01:45,5,4.8,-49,-49
10-06-2011 02:00,5,4.8,-49,-49
10-06-2011 02:15,5,4.8,-49,-49
10-06-2011 02:30,5,4.8,-49,-49
10-06-2011 02:45,5,4.8,-49,-49
10-06-2011 03:00,5,4.8,-49,-49
10-06-2011 03:15,5,4.8,-49,-49
10-06-2011 03:30,5,4.8,-49,-49
10-06-2011 03:45,5,4.8,-49,-50
10-06-2011 04:00,5,4.8,-49,-49
10-06-2011 04:15,5,4.8,-49,-49
10-06-2011 04:30,5,4.8,-49,-49
10-06-2011 04:45,5,4.8,-49,-49
10-06-2011 05:00,5,4.8,-49,-49
10-06-2011 05:15,5,4.8,-49,-49
10-06-2011 05:30,5,4.8,-49,-49
10-06-2011 05:45,5,4.8,-49,-49
10-06-2011 06:00,5,4.8,-49,-49
10-06-2011 06:15,5,4.8,-49,-49
10-06-2011 06:30,5,4.8,-49,-49
10-06-2011 06:45,5,4.8,-49,-49
