NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,16583,1/14.1/1,2019-01-01 00:00:00,24,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 00:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 00:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 00:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 00:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 01:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 01:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 01:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 01:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-42.9,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 02:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-42.9,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 02:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 02:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 02:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 03:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 03:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 03:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 03:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 04:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 04:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 04:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 04:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 05:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 05:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 05:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 05:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 06:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 06:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 06:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 06:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 07:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 07:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 07:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 07:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 08:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 08:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 08:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 08:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 09:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 09:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
SOEM-M,16583,1/14.1/1,2019-01-01 09:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 09:45:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 10:00:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.2,0.0,0,5d46,A931,-,0.0
SOEM-M,16583,1/14.1/1,2019-01-01 10:15:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.8,0.0,0,5d46,A931,-,0.05946879897853559
SOEM-M,16583,1/14.1/1,2019-01-01 10:30:00,15,Near End,00546_10927.367,AMM 20PB,-,-43.5,0.0,0,5d46,A931,-,0.030359182429164192
