NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEMTN,5558,1/4.1/1,2019-01-01 00:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 00:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-51.1,0.0,0,H3T6,3272,-,2.6496538727049943
SOEM-M,17496,1/4.1/1,2019-01-01 00:00:00,24,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEM-M,17496,1/4.1/1,2019-01-01 00:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5558,1/4.1/1,2019-01-01 00:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.0,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 00:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.0,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 00:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.7,0.0,0,4C81,4A65,-,0.4005873081749251
SOEMTN,5558,1/4.1/1,2019-01-01 00:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.2,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 00:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.19994687218382404
SOEM-M,17496,1/4.1/1,2019-01-01 00:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.4,0.0,0,4C81,4A65,-,0.3002244804642521
SOEMTN,5558,1/4.1/1,2019-01-01 00:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 00:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.6,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 00:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-01 01:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.3,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 01:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5558,1/4.1/1,2019-01-01 01:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 01:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.4,0.0,0,4C81,4A65,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 01:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.6,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 01:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 01:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 01:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.4,0.0,0,4C81,4A65,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 01:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.3,0.0,0,H3T6,3272,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 01:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.6,0.0,0,H3T6,3272,-,1.4735989195270285
SOEMTN,5558,1/4.1/1,2019-01-01 01:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 01:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEM-M,17496,1/4.1/1,2019-01-01 02:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5825,1/2.1/1,2019-01-01 02:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,1.0708554208897336
SOEMTN,5558,1/4.1/1,2019-01-01 02:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5558,1/4.1/1,2019-01-01 02:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.0,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 02:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5825,1/2.1/1,2019-01-01 02:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.7,0.0,0,H3T6,3272,-,0.8360896454272204
SOEMTN,5558,1/4.1/1,2019-01-01 02:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-48.2,0.0,0,RX6N,8537,-,0.5010135521320042
SOEM-M,17496,1/4.1/1,2019-01-01 02:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5825,1/2.1/1,2019-01-01 02:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.7,0.0,0,H3T6,3272,-,0.8360896454272204
SOEMTN,5558,1/4.1/1,2019-01-01 02:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 02:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.7,0.0,0,H3T6,3272,-,0.8360896454272204
SOEM-M,17496,1/4.1/1,2019-01-01 02:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.4,0.0,0,4C81,4A65,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 03:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.6349923178160856
SOEM-M,17496,1/4.1/1,2019-01-01 03:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5558,1/4.1/1,2019-01-01 03:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.0,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 03:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-46.0,0.0,0,4C81,4A65,-,0.5010135521320042
SOEMTN,5558,1/4.1/1,2019-01-01 03:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 03:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.2,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 03:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5558,1/4.1/1,2019-01-01 03:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-49.8,0.0,0,RX6N,8537,-,1.037308852704826
SOEMTN,5825,1/2.1/1,2019-01-01 03:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.9,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 03:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.7,0.0,0,4C81,4A65,-,0.4005873081749251
SOEMTN,5558,1/4.1/1,2019-01-01 03:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-48.2,0.0,0,RX6N,8537,-,0.5010135521320042
SOEMTN,5825,1/2.1/1,2019-01-01 03:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.2,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 04:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.7,0.0,0,4C81,4A65,-,0.4005873081749251
SOEMTN,5558,1/4.1/1,2019-01-01 04:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-48.9,0.0,0,RX6N,8537,-,0.7355237891966198
SOEMTN,5825,1/2.1/1,2019-01-01 04:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.6,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 04:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-49.5,0.0,0,RX6N,8537,-,0.9366857486987094
SOEMTN,5825,1/2.1/1,2019-01-01 04:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.6,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 04:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5558,1/4.1/1,2019-01-01 04:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,17496,1/4.1/1,2019-01-01 04:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5825,1/2.1/1,2019-01-01 04:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.0,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 04:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-49.5,0.0,0,RX6N,8537,-,0.9366857486987094
SOEMTN,5825,1/2.1/1,2019-01-01 04:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.0,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 04:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.7,0.0,0,4C81,4A65,-,0.4005873081749251
SOEM-M,17496,1/4.1/1,2019-01-01 05:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5825,1/2.1/1,2019-01-01 05:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.0,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 05:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.9,0.0,0,RX6N,8537,-,0.4005873081749228
SOEM-M,17496,1/4.1/1,2019-01-01 05:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-01 05:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.3,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 05:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,17496,1/4.1/1,2019-01-01 05:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5558,1/4.1/1,2019-01-01 05:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEMTN,5825,1/2.1/1,2019-01-01 05:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.8,0.0,0,H3T6,3272,-,0.5345006883605488
SOEM-M,17496,1/4.1/1,2019-01-01 05:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 05:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5825,1/2.1/1,2019-01-01 05:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.0,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 06:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 06:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.0,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 06:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.9,0.0,0,RX6N,8537,-,0.4005873081749228
SOEMTN,5825,1/2.1/1,2019-01-01 06:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.0,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 06:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 06:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,17496,1/4.1/1,2019-01-01 06:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 06:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-39.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 06:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEMTN,5558,1/4.1/1,2019-01-01 06:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,17496,1/4.1/1,2019-01-01 06:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-01 06:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-39.8,0.0,0,H3T6,3272,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 07:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-40.4,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 07:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.0,0.0,0,RX6N,8537,-,0.09980034534353582
SOEM-M,17496,1/4.1/1,2019-01-01 07:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-01 07:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.0,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 07:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.9,0.0,0,RX6N,8537,-,0.4005873081749228
SOEM-M,17496,1/4.1/1,2019-01-01 07:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEM-M,17496,1/4.1/1,2019-01-01 07:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEMTN,5558,1/4.1/1,2019-01-01 07:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.3,0.0,0,RX6N,8537,-,0.19994687218382404
SOEMTN,5825,1/2.1/1,2019-01-01 07:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.3,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 07:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-47.6,0.0,0,RX6N,8537,-,0.3002244804642521
SOEM-M,17496,1/4.1/1,2019-01-01 07:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 07:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-40.4,0.0,0,H3T6,3272,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 08:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.6349923178160856
SOEMTN,5558,1/4.1/1,2019-01-01 08:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.7,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 08:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-45.1,0.0,0,4C81,4A65,-,0.1999468721838264
SOEM-M,17496,1/4.1/1,2019-01-01 08:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5825,1/2.1/1,2019-01-01 08:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-40.1,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 08:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-43.8,0.0,0,RX6N,8537,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 08:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.5,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 08:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-39.1,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 08:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 08:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.2,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 08:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 08:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-41.6,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 09:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-43.8,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 09:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.2,0.0,0,H3T6,3272,-,0.3336706337724192
SOEMTN,5558,1/4.1/1,2019-01-01 09:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.4,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 09:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.2,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 09:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 09:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-48.5,0.0,0,H3T6,3272,-,1.7758429092013417
SOEM-M,17496,1/4.1/1,2019-01-01 09:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.2,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 09:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 09:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-45.1,0.0,0,H3T6,3272,-,0.6349923178160856
SOEMTN,5558,1/4.1/1,2019-01-01 09:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 09:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.2,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 09:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.5,0.0,0,H3T6,3272,-,0.09980034534353582
SOEMTN,5558,1/4.1/1,2019-01-01 10:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.8,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 10:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.6,0.0,0,H3T6,3272,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 10:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 10:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-42.3,0.0,0,H3T6,3272,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 10:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.8,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 10:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 10:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.8,0.0,0,H3T6,3272,-,0.19994687218382404
SOEMTN,5558,1/4.1/1,2019-01-01 10:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.8,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 10:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 10:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.8,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 10:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.4,0.0,0,H3T6,3272,-,1.0708554208897336
SOEM-M,17496,1/4.1/1,2019-01-01 10:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 11:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.8,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 11:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,1.171510541172815
SOEM-M,17496,1/4.1/1,2019-01-01 11:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 11:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.9,0.0,0,H3T6,3272,-,1.574331150937392
SOEM-M,17496,1/4.1/1,2019-01-01 11:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 11:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.5,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 11:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.6,0.0,0,H3T6,3272,-,1.4735989195270285
SOEM-M,17496,1/4.1/1,2019-01-01 11:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.8,0.0,0,4C81,4A65,-,0.09980034534353582
SOEMTN,5558,1/4.1/1,2019-01-01 11:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-44.5,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 11:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 11:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.6,0.0,0,H3T6,3272,-,1.4735989195270285
SOEMTN,5558,1/4.1/1,2019-01-01 11:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 12:00:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 12:00:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-47.3,0.0,0,H3T6,3272,-,1.372883870229341
SOEM-M,17496,1/4.1/1,2019-01-01 12:00:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 12:15:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-46.7,0.0,0,H3T6,3272,-,1.171510541172815
SOEMTN,5558,1/4.1/1,2019-01-01 12:15:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.1,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 12:15:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 12:30:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-44.8,0.0,0,H3T6,3272,-,0.5345006883605488
SOEMTN,5558,1/4.1/1,2019-01-01 12:30:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-46.4,0.0,0,RX6N,8537,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 12:30:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.5,0.0,0,4C81,4A65,-,0.0
SOEM-M,17496,1/4.1/1,2019-01-01 12:45:00,15,Near End,00481_10531.124,AMM 20PB,-,-44.2,0.0,0,4C81,4A65,-,0.0
SOEMTN,5558,1/4.1/1,2019-01-01 12:45:00,15,Near End,820304_timorim-->komemyot.1,AMM 6PD,-,-45.4,0.0,0,RX6N,8537,-,0.0
SOEMTN,5825,1/2.1/1,2019-01-01 12:45:00,15,Near End,820522_hafetz haim-->sorek jct.1,AMM 2PB,-,-43.2,0.0,0,H3T6,3272,-,0.0
