NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,18957,1/2.1/1,2019-01-02 03:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.4,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 04:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 04:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.4,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 04:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 04:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/2.1/1,2019-01-02 04:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 04:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 04:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 04:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 05:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 05:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 05:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 05:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/3.1/1,2019-01-02 05:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 05:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 05:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 05:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 06:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 06:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 06:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 06:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 06:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 06:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/2.1/1,2019-01-02 06:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 06:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/3.1/1,2019-01-02 07:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.6,0.0,0,A047,F139,-,1.6539380036579527
SOEM-M,18957,1/2.1/1,2019-01-02 07:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/2.1/1,2019-01-02 07:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.7,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 07:15:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/3.1/1,2019-01-02 07:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
SOEM-M,18957,1/2.1/1,2019-01-02 07:30:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.4,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 07:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.6,0.0,0,A047,F139,-,1.6539380036579527
SOEM-M,18957,1/2.1/1,2019-01-02 07:45:00,15,Near End,21754_12823.158,AMM 2PB,-,-40.4,0.0,0,A047,F139,-,0.0
SOEM-M,18957,1/3.1/1,2019-01-02 08:00:00,15,Near End,21754_12823.158,AMM 2PB,-,-53.9,0.0,0,A047,F139,-,1.7302804901310973
